Innervate,2,Basic,0
Moonfire,2,Basic,0
Claw,2,Basic,1
Mark of the Wild,2,Basic,2
Wild Growth,2,Basic,2
Healing Touch,2,Basic,3
Savage Roar,2,Basic,3
Swipe,2,Basic,4
Starfire,2,Basic,6
Ironbark Protector,2,Basic,8
Naturalize,2,Common,1
Power of the Wild,2,Common,2
Wrath,2,Common,2
Anodized Robo Cub,2,Common,2
Mark of Nature,2,Common,3
Poison Seeds,2,Common,4
Soul of the Forest,1,Common,4
Druid of the Claw,2,Common,5
Druid of the Fang,2,Common,5
Savagery,2,Rare,1
Grove Tender,2,Rare,3
Bite,0,Rare,4
Keeper of the Grove,2,Rare,4
Nourish,1,Rare,5
Starfall,2,Rare,5
Recycle,0,Rare,6
Mech-Bear-Cat,0,Rare,6
Dark Whispers,1,Epic,6
Force of Nature,0,Epic,6
Ancient of Lore,2,Epic,7
Ancient of War,0,Epic,7
Tree of Life,0,Epic,9
Malorne,0,Legendary,7
Cenarius,1,Legendary,9
Elven Archer,2,Basic,1
Goldshire Footman,2,Basic,1
Grimscale Oracle,2,Basic,1
Murloc Raider,2,Basic,1
Stonetusk Boar,2,Basic,1
Voodoo Doctor,2,Basic,1
Acidic Swamp Ooze,2,Basic,2
Bloodfen Raptor,2,Basic,2
Bluegill Warrior,2,Basic,2
Frostwolf Grunt,2,Basic,2
Kobold Geomancer,2,Basic,2
Murloc Tidehunter,2,Basic,2
Novice Engineer,2,Basic,2
River Crocolisk,2,Basic,2
Dalaran Mage,2,Basic,3
Ironforge Rifleman,2,Basic,3
Ironfur Grizzly,2,Basic,3
Magma Rager,2,Basic,3
Raid Leader,2,Basic,3
Razorfen Hunter,2,Basic,3
Shattered Sun Cleric,2,Basic,3
Silverback Patriarch,2,Basic,3
Wolfrider,2,Basic,3
Chillwind Yeti,2,Basic,4
Dragonling Mechanic,2,Basic,4
Gnomish Inventor,2,Basic,4
Oasis Snapjaw,2,Basic,4
Ogre Magi,2,Basic,4
Sen'jin Shieldmasta,2,Basic,4
Stormwind Knight,2,Basic,4
Booty Bay Bodyguard,2,Basic,5
Darkscale Healer,2,Basic,5
Frostwolf Warlord,2,Basic,5
Gurubashi Berserker,2,Basic,5
Nightblade,2,Basic,5
Stormpike Commando,2,Basic,5
Archmage,2,Basic,6
Boulderfist Ogre,2,Basic,6
Lord of the Arena,2,Basic,6
Reckless Rocketeer,2,Basic,6
Core Hound,2,Basic,7
Stormwind Champion,2,Basic,7
War Golem,2,Basic,7
Wisp,2,Common,0
Abusive Sergeant,2,Common,1
Argent Squire,2,Common,1
Clockwork Gnome,2,Common,1
Cogmaster,2,Common,1
Leper Gnome,2,Common,1
Shieldbearer,0,Common,1
Southsea Deckhand,2,Common,1
Undertaker,2,Common,1
Worgen Infiltrator,2,Common,1
Young Dragonhawk,2,Common,1
Zombie Chow,2,Common,1
Amani Berserker,2,Common,2
Annoy-o-Troy,2,Common,2
